아파트 이름,건축 연도,전용 면적 (㎡),층,거래 금액 (만원),거래 일자,주소,읍면동,평당 가격 (만원),면적 범주,읍면동_구미동,읍면동_금곡동,읍면동_대장동,읍면동_백현동,읍면동_분당동,읍면동_삼평동,읍면동_서현동,읍면동_수내동,읍면동_야탑동,읍면동_운중동,읍면동_이매동,읍면동_정자동,읍면동_판교동
한솔마을(4단지)(주공),1994,41.85,6,60000,2024-02-03,경기 성남시분당구 백현로 102,정자동,1433.6917562724013,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
봇들마을3단지(주공),2009,59.84,3,111000,2024-02-02,경기 성남시분당구 동판교로 722,삼평동,1854.946524064171,15~25평,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
상록마을(우성)1,1994,69.12,8,133000,2024-02-06,경기 성남시분당구 내정로 121,정자동,1924.1898148148148,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
장미마을(동부),1993,59.76,8,86000,2024-02-24,경기 성남시 분당구 장미로 330,야탑동,1439.0896921017404,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
장미마을(코오롱)1,1993,59.55,9,83000,2024-02-07,경기 성남시분당구 장미로 330,야탑동,1393.7867338371118,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
장안타운(건영),1993,101.82,5,94800,2024-02-01,경기 성남시분당구 장안로 66,분당동,931.0548025928109,25~40평,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
효자촌(미래타운),1994,134.64,10,114500,2024-02-08,경기 성남시분당구 불정로386번길 307,서현동,850.4159239453357,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
이매촌(청구),1992,101.89,14,158000,2024-02-17,경기 성남시분당구 양현로94번길 123,이매동,1550.691922661694,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
한솔마을(4단지)(주공),1994,35.28,10,53000,2024-02-15,경기 성남시분당구 백현로 102,정자동,1502.267573696145,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
판교푸르지오그랑블,2011,103.9649,2,230000,2024-02-21,경기 성남시분당구 동판교로 542,백현동,2212.2851077623313,25~40평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미켈란쉐르빌,2003,157.03,29,170000,2024-02-06,경기 성남시분당구 정자일로 180,정자동,1082.5956823536903,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
이매촌(진흥),1993,84.63,11,140000,2024-02-03,경기 성남시 분당구 양현로 111,이매동,1654.259718775848,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
장미마을(동부),1993,70.56,10,92000,2024-02-01,경기 성남시 분당구 장미로 330,야탑동,1303.8548752834467,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
이매촌(진흥),1993,101.89,16,145000,2024-02-03,경기 성남시 분당구 양현로 111,이매동,1423.1033467464913,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
현대I-PARK3,2003,156.03,22,188000,2024-02-06,경기 성남시 분당구 정자일로213번길 11,정자동,1204.8964942639236,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
파크타운(대림),1993,101.91,16,154000,2024-02-05,경기 성남시분당구 내정로 51,수내동,1511.1372779903836,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
현대I-PARK3,2003,156.03,22,188000,2024-02-06,경기 성남시분당구 정자일로213번길 11,정자동,1204.8964942639236,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
하얀마을(5단지)(주공),1995,35.28,9,55000,2024-02-17,경기 성남시분당구 미금일로 110,구미동,1558.9569160997733,15평 이하,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
무지개(3단지)(건영),1996,68.4,12,79500,2024-02-05,"경기 성남시분당구, 경기 용인시수지구 미금로 201",구미동,1162.280701754386,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
매화마을공무원1,1995,58.92,5,71500,2024-02-05,경기 성남시분당구 매화로 201,야탑동,1213.509843856076,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
매화마을공무원1,1995,49.67,3,64750,2024-02-03,"경기 군포시, 경기 성남시분당구 매화로 201",야탑동,1303.6037849808738,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
이매촌(동신9),1992,117.12,8,140000,2024-02-03,경기 성남시분당구 양현로166번길 110,이매동,1195.3551912568305,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
봇들마을3단지(주공),2009,59.85,11,123300,2024-02-06,"경기 성남시분당구, 경기 용인시수지구 동판교로 722",삼평동,2060.1503759398497,15~25평,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
청솔마을(대원),1994,129.45,1,135000,2024-02-01,경기 성남시분당구 미금로 141,금곡동,1042.8736964078796,25~40평,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
상록마을(우성)1,1994,69.12,10,138500,2024-02-03,"경기 성남시분당구, 경기 용인시수지구 내정로 121",정자동,2003.761574074074,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
청솔마을(유천),1995,84.6,7,125000,2024-02-02,경기 성남시분당구 정자일로 180,금곡동,1477.5413711583926,25~40평,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
무지개(3단지)(신한),1996,53.46,11,62000,2024-02-05,경기 성남시분당구 미금로 201,구미동,1159.7456041900487,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
무지개(3단지)(신한),1996,53.46,9,60000,2024-02-03,경기 성남시 분당구 미금로 201,구미동,1122.334455667789,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
이매촌(삼성),1994,84.94,9,122500,2024-02-05,경기 성남시분당구 양현로 100,이매동,1442.1944902283965,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
푸른마을(쌍용),1992,84.72,6,133000,2024-02-01,경기 성남시분당구 백현로 75,수내동,1569.8772426817752,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
힐스테이트판교엘포레A4BL,2021,131.599,15,166000,2024-02-16,경기 성남시분당구 판교대장로5길 634,대장동,1261.407761457154,25~40평,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
현대I-PARK1,2003,80.82,13,119500,2024-02-06,경기 성남시분당구 정자일로 9,정자동,1478.5944073249198,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
무지개(12단지)(주공뜨란체),1995,49.36,10,54900,2024-02-03,경기 성남시분당구 미금로22번길 212,구미동,1112.2366288492706,15평 이하,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
푸른마을(쌍용),1992,59.78,3,87750,2024-02-03,경기 성남시분당구 백현로 75,수내동,1467.8822348611575,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
시범한양,1991,28.71,6,60000,2024-02-17,경기 성남시분당구 중앙공원로 91,서현동,2089.864158829676,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
아름마을(풍림),1993,59.55,4,115500,2024-02-05,경기 성남시분당구 탄천로 140,이매동,1939.5465994962217,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
판교푸르지오그랑블,2011,98.986,13,247000,2024-02-12,경기 성남시분당구 동판교로 542,백현동,2495.30236599115,25~40평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
이매촌(삼성),1994,84.94,10,125500,2024-02-02,경기 성남시분당구 양현로 100,이매동,1477.5135389686839,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
백현마을7단지(주공),2009,74.76,6,154000,2024-02-07,경기 성남시분당구 판교역로 556,백현동,2059.9250936329586,15~25평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
탑마을(주공),1993,41.85,7,39600,2024-02-14,경기 성남시분당구 매화로 518,야탑동,946.236559139785,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
까치마을(4단지)(롯데),1995,70.66,6,105000,2024-02-02,경기 성남시분당구 미금일로 63,구미동,1485.9892442683272,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
이매촌(진흥),1993,84.63,7,120000,2024-02-01,경기 성남시 분당구 양현로 111,이매동,1417.9369018078696,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
탑마을(벽산),1994,101.97,13,119000,2024-02-01,경기 성남시 분당구 야탑로 517,야탑동,1167.0099048739826,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
한솔마을(5단지)(주공),1994,42.75,3,58500,2024-02-12,경기 성남시분당구 정자로 112,정자동,1368.421052631579,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
까치마을(2단지)(주공),1995,58.14,4,81500,2024-02-03,경기 성남시분당구 미금일로 88,구미동,1401.7887856897144,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
까치마을(3단지)(신원),1995,84.8,15,133000,2024-02-02,경기 성남시 분당구 미금로 66,구미동,1568.3962264150944,25~40평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
까치마을(1단지)(대우롯데선경),1995,84.79,12,127000,2024-02-14,경기 성남시분당구 미금로 77,구미동,1497.8181389314777,25~40평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
한솔마을(4단지)(주공),1994,42.75,9,66000,2024-02-06,경기 성남시분당구 백현로 102,정자동,1543.859649122807,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
무지개(4단지)(주공),1995,59.98,9,64900,2024-02-13,경기 성남시분당구 미금로 220,구미동,1082.0273424474826,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
매화마을공무원1,1995,49.67,20,65000,2024-02-01,경기 성남시분당구 매화로 201,야탑동,1308.637004227904,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
청솔마을(주공9단지),1995,36.54,7,61000,2024-02-08,경기 성남시분당구 미금로 133,금곡동,1669.4033935413247,15평 이하,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
청솔마을(한라),1995,58.8,2,90000,2024-02-03,경기 성남시분당구 정자일로 181,금곡동,1530.6122448979593,15~25평,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
탑마을(기산)1,1993,131.4,3,139000,2024-02-01,경기 성남시 분당구 양현로 511,야탑동,1057.8386605783865,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
정든마을(6단지)(한진),1995,99.6,6,132000,2024-02-01,경기 성남시분당구 내정로 191,정자동,1325.3012048192772,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
하얀마을(5단지)(주공),1995,38.07,3,54000,2024-02-07,경기 성남시분당구 미금일로 110,구미동,1418.4397163120568,15평 이하,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
정든마을(5단지)(신화),1995,52.44,6,80500,2024-02-01,경기 성남시 분당구 정자로 192,정자동,1535.0877192982457,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
장미마을(동부),1993,101.41,6,120000,2024-02-05,경기 성남시 분당구 장미로 330,야탑동,1183.315254905828,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
장미마을(코오롱)1,1993,59.55,9,80000,2024-02-01,경기 성남시 분당구 장미로 330,야탑동,1343.408900083963,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
무지개(4단지)(주공),1995,58.14,7,69000,2024-02-08,경기 성남시분당구 미금로 220,구미동,1186.7905056759546,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
청솔마을(한라),1995,58.8,10,95500,2024-02-03,경기 성남시분당구 정자일로 181,금곡동,1624.1496598639455,15~25평,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
현대I-PARK1,2003,80.82,13,120000,2024-02-03,경기 성남시분당구 정자일로 9,정자동,1484.7809948032666,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
하얀마을(5단지)(주공),1995,38.07,21,54000,2024-02-03,경기 성남시분당구 미금일로 110,구미동,1418.4397163120568,15평 이하,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
파크타운(서안),1993,84.78,4,120000,2024-02-01,경기 성남시분당구 내정로174번길 52,수내동,1415.4281670205237,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
까치마을(2단지)(주공),1995,58.14,4,85000,2024-02-02,경기 성남시분당구 미금일로 88,구미동,1461.9883040935672,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
장미마을(코오롱)1,1993,59.55,14,80000,2024-03-25,경기 성남시분당구 장미로 330,야탑동,1343.408900083963,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
까치마을(2단지)(주공),1995,59.98,20,83500,2024-03-27,경기 성남시 분당구 미금일로 88,구미동,1392.1307102367457,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK-VIEW,2003,84.944,11,75500,2024-03-22,경기 성남시 분당구 돌마로 188,야탑동,888.8208702203805,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
산운마을8단지(부영사랑으로),2008,81.019,3,118800,2024-03-18,경기 성남시분당구 산운로 956,운중동,1466.3227144250113,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
청솔마을(대원),1994,84.97,8,113500,2024-03-08,경기 성남시분당구 미금로 141,금곡동,1335.7655643168177,25~40평,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
푸른마을(쌍용),1992,59.78,3,85000,2024-03-08,경기 성남시분당구 백현로 75,수내동,1421.8802275008363,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
목련마을SK,1998,59.93,12,51800,2024-03-28,경기 성남시 분당구 판교로743번길 147,야탑동,864.3417320206908,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
목련마을SK,1998,59.93,12,51800,2024-03-28,경기 성남시 분당구 판교로743번길 147,야탑동,864.3417320206908,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
백현마을5단지(주공),2009,84.73,3,178000,2024-03-08,경기 성남시분당구 판교역로 554,백현동,2100.7907470789564,25~40평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
장미마을(현대),1993,84.97,4,104000,2024-03-11,경기 성남시분당구 장미로 334,야탑동,1223.9613981405203,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
까치마을(1단지)(대우롯데선경),1995,70.66,4,107000,2024-03-22,경기 성남시분당구 미금로 77,구미동,1514.2938013020098,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
정든마을(7단지)(한진),1994,84.69,17,119000,2024-03-15,경기 성남시분당구 내정로 194,정자동,1405.1245719683552,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
로얄팰리스,2003,170.6,15,184000,2024-03-29,경기 성남시분당구 성남대로 28-1,정자동,1078.546307151231,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
시범한신,1991,84.69,5,135000,2024-03-26,  중앙공원로 87,서현동,1594.0488841657811,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
무지개(1단지)(대림),1995,84.97,10,91000,2024-03-30,경기 성남시분당구 미금로 211,구미동,1070.9662233729553,25~40평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
백현마을8단지(대림),2009,101.46,16,137500,2024-03-27,서울 용산구 판교역로 558,백현동,1355.2138773901045,25~40평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
코오롱더프라우,2004,153.948,30,129500,2024-03-30,경기 성남시분당구 정자일로 201,금곡동,841.1931301478421,40평 초과,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
로얄팰리스,2003,244.15,25,270000,2024-03-29,경기 성남시분당구 성남대로 28-1,정자동,1105.8775343026828,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
장미마을(동부),1993,59.76,5,77000,2024-03-28,경기 성남시 분당구 장미로 330,야탑동,1288.4872824631861,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
판교원마을6단지(판교대광로제비앙),2009,83.33,18,125000,2024-03-30,"경기 성남시분당구, 경기 성남시중원구 판교원로 635",판교동,1500.060002400096,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
현대I-PARK1,2003,172.67,3,203000,2024-03-27,경기 성남시분당구 정자일로 9,정자동,1175.6529796722073,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
산운마을12단지판교센트럴포레와이시티,2009,59.9,15,96000,2024-03-30,경기 성남시분당구 판교원로 921,운중동,1602.6711185308848,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
탑마을(선경)1,1992,83.73,2,102000,2024-03-23,경기 성남시분당구 야탑로 536,야탑동,1218.2013615191686,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
산운마을13단지(태영),2010,101.67,4,130000,2024-03-27,경기 성남시분당구 판교원로82번길 918,운중동,1278.6466017507623,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
파크타운(롯데),1993,134.91,11,164000,2024-03-25,경기 성남시분당구 내정로 55,수내동,1215.6252316359055,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
아름마을(풍림),1993,134.22,6,176000,2024-03-21,경기 성남시분당구 탄천로 140,이매동,1311.279988079273,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
파크뷰,2004,162.869,3,250000,2024-03-22,경기 성남시 분당구 정자일로 6,정자동,1534.9759622764307,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
파크타운(롯데),1993,101.91,3,107500,2024-03-19,  내정로 55,수내동,1054.8523206751056,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
장미마을(코오롱)1,1993,74.14,7,96000,2024-03-26,경기 성남시분당구 장미로 330,야탑동,1294.8475856487726,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
봇들마을7단지,2009,84.5,3,174000,2024-03-28,경기 성남시 분당구 동판교로 738,삼평동,2059.171597633136,25~40평,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
분당더샾스타파크,2007,116.7905,34,155000,2024-03-22,"경기 성남시분당구, 서울 서초구 정자일로 174-1",정자동,1327.1627401201297,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
야탑진흥더블파크,2005,84.93,6,98000,2024-03-30,경기 성남시분당구 야탑로 519,야탑동,1153.8914400094195,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
청솔마을(대원),1994,129.45,22,152000,2024-03-25,경기 성남시분당구 미금로 141,금곡동,1174.1985322518349,25~40평,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
파크뷰,2004,162.869,3,250000,2024-03-22,경기 성남시분당구 정자일로 6,정자동,1534.9759622764307,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
산운마을11단지(판교포레라움),2009,59.84,15,107500,2024-03-21,경기 성남시분당구 판교원로 922,운중동,1796.4572192513367,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
느티마을(3단지)(공무원),1994,66.6,15,118000,2024-03-21,경기 성남시 분당구 느티로 88,정자동,1771.771771771772,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
한솔마을(4단지)(주공),1994,35.28,10,54700,2024-03-28,경기 성남시분당구 백현로 102,정자동,1550.453514739229,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
판교원마을12단지(힐스테이트),2009,115.34,8,148800,2024-03-26,경기 성남시분당구 서판교로 494,판교동,1290.098838217444,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
효자촌(화성),1994,70.686,4,101800,2024-03-22,경기 성남시분당구 불정로 308,서현동,1440.1720284073224,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
효자촌(화성),1994,53.82,2,71000,2024-03-27,경기 성남시분당구 불정로 308,서현동,1319.2121887774063,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
백현마을8단지(대림),2009,101.46,8,184500,2024-03-23,경기 성남시분당구 판교역로 558,백현동,1818.4506209343585,25~40평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
백현마을5단지(주공),2009,74.92,8,167000,2024-03-26,경기 성남시분당구 판교역로 554,백현동,2229.044313934864,15~25평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
탑마을(경남)1,1994,69.87,14,94500,2024-03-25,"경기 성남시 분당구, 경기 성남시 수정구 판교로 525",야탑동,1352.511807642765,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
상록마을(우성)1,1994,55.14,6,96500,2024-03-31,경기 성남시분당구 내정로 121,정자동,1750.0906782734858,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
봇들마을1단지(판교신미주),2009,82.794,13,140000,2024-03-25,경기 성남시 분당구 동판교로 705,삼평동,1690.9437881972124,25~40평,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
파크뷰,2004,84.99,12,177000,2024-03-22,경기 성남시분당구 정자일로 6,정자동,2082.597952700318,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
파크타운(서안),1993,131.49,1,167000,2024-03-26,경기 성남시분당구 수내로 52,수내동,1270.0585595862801,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
로얄팰리스,2003,244.15,5,270000,2024-03-15,경기 성남시분당구 성남대로 28-1,정자동,1105.8775343026828,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
판교원마을7단지(모아미래도),2009,56.555,11,101500,2024-03-30,경기 성남시분당구 판교원로 637,판교동,1794.7131111307576,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
파크타운(서안),1993,134.91,24,174000,2024-03-21,경기 성남시분당구 수내로 52,수내동,1289.748721369802,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
산운마을13단지(태영),2010,84.82,30,126500,2024-03-23,경기 성남시분당구 판교원로82번길 918,운중동,1491.3935392596088,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
현대I-PARK1,2003,172.67,2,202000,2024-03-22,경기 성남시분당구 정자일로 9,정자동,1169.861585683674,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
이매촌(동부코오롱),1993,101.41,12,146500,2024-03-20,경기 성남시분당구 양현로 121,이매동,1444.6307070308649,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
