아파트 이름,건축 연도,전용 면적 (㎡),층,거래 금액 (만원),거래 일자,주소,읍면동,평당 가격 (만원),면적 범주,읍면동_구미동,읍면동_금곡동,읍면동_대장동,읍면동_백현동,읍면동_분당동,읍면동_삼평동,읍면동_서현동,읍면동_수내동,읍면동_야탑동,읍면동_운중동,읍면동_이매동,읍면동_정자동,읍면동_판교동
이매촌(청구),1992,133.15,3,186000,2024-01-24,경기 성남시분당구 양현로94번길 123,이매동,1396.9207660533232,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
장미마을(코오롱)1,1993,84.6,10,104000,2024-01-29,경기 성남시분당구 장미로 330,야탑동,1229.3144208037827,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"양지마을(6단지)(금호,청구)",1992,59.94,19,90500,2024-01-20,경기 성남시분당구 내정로165번길 32,수내동,1509.8431765098433,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
청솔마을(주공9단지),1995,36.54,12,61500,2024-01-24,경기 성남시분당구 미금로 133,금곡동,1683.087027914614,15평 이하,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
매화마을(주공3),1993,41.85,3,50000,2024-01-31,"경기 광주시, 경기 성남시분당구 양현로 205",야탑동,1194.743130227001,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
청솔마을(유천),1995,84.6,6,127000,2024-01-31,경기 성남시분당구 정자일로 180,금곡동,1501.1820330969267,25~40평,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
이매촌(한신),1992,66.27,3,102000,2024-01-30,경기 성남시분당구 서현로 124,이매동,1539.1579900407426,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
양지마을(5단지)(한양515-529),1992,101.93,5,119900,2024-01-19,  내정로 24,수내동,1176.2974590405179,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
이매촌(한신),1992,50.1,12,81000,2024-01-31,경기 성남시분당구 서현로 124,이매동,1616.7664670658683,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
푸른마을(신성),1992,84.72,16,139500,2024-01-20,경기 성남시 분당구 수내로192번길 73,수내동,1646.600566572238,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
파크타운(롯데),1993,131.49,9,179500,2024-01-22,경기 성남시분당구 내정로 55,수내동,1365.122823028367,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
시범한양,1991,28.71,1,55000,2024-01-16,경기 성남시분당구 중앙공원로 91,서현동,1915.7088122605364,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
정든마을(5단지)(신화),1995,69.93,3,101000,2024-01-29,경기 성남시분당구 정자로 192,정자동,1444.3014443014442,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
청솔마을(주공9단지),1995,36.54,9,60000,2024-01-22,경기 성남시분당구 미금로 133,금곡동,1642.0361247947455,15평 이하,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
청솔마을(대원),1994,84.97,9,110000,2024-01-17,경기 성남시분당구 미금로 141,금곡동,1294.5745557255502,25~40평,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
로얄팰리스,2003,208.87,22,228000,2024-01-16,경기 성남시 분당구 성남대로 28-1,정자동,1091.588069133911,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
장미마을(코오롱)1,1993,59.55,6,80000,2024-01-22,경기 성남시분당구 장미로 330,야탑동,1343.408900083963,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
매화마을공무원2,1995,58.71,11,71000,2024-01-25,경기 성남시분당구 장미로 215,야탑동,1209.3340146482712,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
장미마을(동부),1993,59.76,6,87800,2024-01-26,"경기 성남시 분당구, 서울 광진구 장미로 330",야탑동,1469.210174029451,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
